"DOY","ppfd_in_avg","ppfd_in_sd","ppfd_in_f_avg","ppfd_in_f_sd","gpp_avg","gpp_sd","reco_avg","reco_sd","date","vpd_avg","vpd_sd","Tair_avg","Tair_sd","nee_avg","nee_sd","swc_2.5_10_avg","swc_2.5_10_sd","swc_5_10_avg","swc_5_10_sd","swc_15_20_avg","swc_15_20_sd","swc_25_30_avg","swc_25_30_sd","swc_45_50_avg","swc_45_50_sd","swc_60_70_avg","swc_60_70_sd","swc_90_100_avg","swc_90_100_sd","swc_130_avg","swc_130_sd","Tsoi_2.5_10_avg","Tsoi_2.5_10_sd","precip","ef_avg","ef_sd","swc_all_sd","swc_all_avg","swc_shallow_sd","swc_shallow_avg","swc_deep_sd","swc_deep_avg"
302,410.797788333333,557.362435589459,410.797788333333,557.362435589459,1.52827573686854,1.65974618196837,0.64684016209375,0.247221507416469,2005-10-29,1.31615888838302,0.764691161646861,17.283125,5.52585303177015,-0.8814355748025,1.48521826802155,3.03525835291667,0.237640372929741,2.61546103560417,0.161290608405943,5.97669252425,0.0590834941680824,6.34054126997917,0.00961838986790641,6.84160326666667,0.0105293410466137,5.82571733072917,0.0109823217342251,6.16311108727083,0.012564892491891,5.55648937164583,0.0188245499016949,22.45171875,5.03101212444803,0,0.111426846145862,0.2424248525401,0.0471063073666167,5.29435927988281,0.0840042650286506,4.4919882956875,0.0123194242595054,6.09673026407812
303,407.89774375,554.448835327811,407.89774375,554.448835327811,1.3426214042925,1.43689838976396,0.668182618516667,0.231159368246236,2005-10-30,1.33524767834509,0.720670557281486,17.2214583333333,5.0609052211834,-0.674438785792,1.26179058859866,2.9778027505,0.2309529880742,2.52655743385417,0.153434904060881,5.94158240660417,0.0564856223469269,6.34063117835417,0.0118895447529723,6.83917042760417,0.0109533050515684,5.81867097808333,0.00660612481485591,6.15421559327083,0.00992970716873851,5.54584837883333,0.0166186944111201,22.524859375,4.91347451513905,0,0.0277893683182682,0.402092437255064,0.0439913464217311,5.26805989338802,0.0805799322490889,4.44664344232813,0.0101389079026255,6.08947634444792
304,405.0676875,551.573004139676,405.0676875,551.573004139676,1.19275591591771,1.24058808357122,0.771771946929167,0.295228925555405,2005-10-31,1.83525692701865,0.955838873530102,18.9429166666667,6.06505405365516,-0.420983969053958,1.14798239933505,2.943807552875,0.243163347950794,2.46669943372917,0.157275392274974,5.90060295614583,0.056553746398303,6.33542697960417,0.00989520749960192,6.82937668739583,0.0101396787896782,5.809094520875,0.00684393045146115,6.147884992125,0.0126036357107761,5.5339587745,0.015664897176879,22.068671875,5.02483801690763,0,0.0857917680371896,0.229553920473116,0.046568747157368,5.24585648715625,0.0856361701884695,4.41163423058854,0.0101616298653303,6.08007874372396
305,395.486635833333,546.012202830896,395.486635833333,546.012202830896,1.08977125899333,1.34163736314917,0.98293865216875,0.410312267622482,2005-11-01,2.43921233888144,0.724702131852756,22.273125,3.96132051712074,-0.106832606804167,1.48309430691653,2.76838028933333,0.240665232846538,2.31250206677083,0.162525454120873,5.86527670264583,0.0519048654035258,6.33211983252083,0.0102397168001006,6.82621332222917,0.0100388882183764,5.8112764531875,0.00825272087431938,6.1335225013125,0.0115347888539055,5.52118151691667,0.0148913148654605,24.141984375,4.86949193781686,0,0.0402371470226377,0.448475014438242,0.0478287660070739,5.19630908561458,0.0874340688551529,4.31956972281771,0.00979335824570401,6.07304844841146
306,339.35685,478.430569762421,339.35685,478.430569762421,1.15904479444924,1.4141816175229,0.611863725358333,0.206718901129238,2005-11-02,2.3183378352952,1.01038126591579,21.5370833333333,5.54260402673356,-0.547181069062917,1.31680533136103,2.75669982639583,0.222331423305224,2.246159005375,0.134704562710401,5.80789074114583,0.0477273182020344,6.32862823835417,0.0121598378807043,6.8190866970625,0.0130188418884676,5.80266689616667,0.00552992933913569,6.12428053952083,0.00858033708552067,5.50914760091667,0.0145648340200915,23.365265625,4.53918155653727,0,0.116851269742107,0.266848582366819,0.0421689330200037,5.17431994311719,0.0766233531586393,4.28484445281771,0.00931635110498201,6.06379543341667
307,243.247167916667,371.100788140515,243.247167916667,371.100788140515,1.10729280538125,1.45588672170709,0.4954619216,0.149083023793109,2005-11-03,1.83858219881483,0.698206206652235,20.084375,4.41885077302406,-0.611830883788729,1.40527782616962,2.80150322258333,0.154526589861411,2.2479802678125,0.0897684529540681,5.7548120304375,0.0338004592844156,6.32523347770833,0.00808852007038341,6.8135041583125,0.00944806024716761,5.79767194752083,0.00372982720006446,6.118501830875,0.0110165656661062,5.49852775127083,0.00905078138207985,22.2528333333333,3.35897394506901,0,0.110343599127445,0.602066940501248,0.028802208101383,5.1697168358151,0.0517359850899853,4.28238224963542,0.00723018738284759,6.05705142199479
308,390.28665375,536.197475197507,390.28665375,536.197475197507,1.05806640543,1.36045317115723,0.417850204320833,0.177059453670513,2005-11-04,1.69217466009412,0.909851278342772,18.606875,5.97502146573194,-0.64021620108,1.27158307993015,2.7923925375,0.249449558281622,2.2409980435625,0.151130060740222,5.721219899,0.0503654806301029,6.3166591876875,0.00838875690398698,6.8043102945625,0.00863493781691686,5.79160082395833,0.00491614361795312,6.10295752483333,0.00831600078985453,5.48358615575,0.00925945180637084,22.3292552083333,5.20975074456072,0,0.278792920506372,1.225354334119,0.0460387478638708,5.15671555835677,0.0862764227818714,4.2678174169375,0.00673939570895014,6.04561369977604
309,393.39386625,539.532522103683,393.39386625,539.532522103683,1.05466090139021,1.25947141459168,0.400583454691667,0.140923948946517,2005-11-05,1.57619396680929,0.860035035687962,17.2170833333333,5.86074461841407,-0.654077446608125,1.20653976516306,2.799367155875,0.243998391842565,2.21562849839583,0.146597988033453,5.67802490264583,0.0503925481473075,6.31156982785417,0.00936201033246485,6.79921516327083,0.0106476044531018,5.78601457402083,0.00601591266558529,6.09529019747917,0.00910211117911203,5.47400679766667,0.0123930437972249,21.72871875,5.16464140704506,0,0.142026619797323,0.346529290848149,0.0449850842630797,5.14488963965104,0.0837568992421014,4.25114759619271,0.00715796790941788,6.03863168310937
310,380.41878875,525.497332409113,380.41878875,525.497332409113,0.975099111134813,1.22211806954014,0.422752431170833,0.140128332539683,2005-11-06,1.92649634999671,0.953970852420974,19.0239583333333,6.01652891362119,-0.552346679944583,1.16058704388792,2.77421575466667,0.238628635604978,2.19197271058333,0.15096915836475,5.6412209806875,0.0487905421218606,6.3047751958125,0.00915510557573408,6.79156185420833,0.0109443841340665,5.78097986320833,0.0044430140914841,6.08045539310417,0.00886532922081126,5.47224472479167,0.00872871716455133,21.8527916666667,5.08280054326241,0,0.0223075290466344,0.400689762834172,0.0447367285821492,5.12967830963281,0.0840558869414046,4.2280461604375,0.00658557611479959,6.03131045882813
311,361.092474166667,517.394931320387,361.092474166667,517.394931320387,0.89466219800875,1.12423750418783,0.470015318458333,0.148405436187315,2005-11-07,2.1170472957053,0.896138154992726,20.0275,5.49636069149977,-0.424646879536667,1.09453275012961,2.71599789420833,0.221643854062378,2.12578621691667,0.1492514812534,5.59471472958333,0.0440928980657756,6.30002195145833,0.00941389100159761,6.7864325426875,0.0105768209717685,5.77708706679167,0.00580659849026714,6.07358814933333,0.00854917001931746,5.4588074166875,0.00870185870017377,22.7231822916667,4.69270773515731,0,-0.140085831834818,1.24698181289872,0.0434074620138704,5.10405449595833,0.0811721056306587,4.18413019804167,0.00708477418833527,6.023978793875
